true\pred,8PSK,AM-DSB,AM-SSB,BPSK,CPFSK,GFSK,PAM4,QAM16,QAM64,QPSK,WBFM
8PSK,1654,15,886,52,78,52,22,87,49,101,4
AM-DSB,10,2130,675,8,14,70,2,2,1,7,81
AM-SSB,13,49,2742,25,52,73,20,7,3,8,8
BPSK,34,21,876,1835,35,36,115,18,9,16,5
CPFSK,36,22,866,26,1910,72,13,18,14,14,9
GFSK,12,61,795,19,35,2002,12,5,1,7,51
PAM4,16,11,649,101,29,35,2110,17,21,8,3
QAM16,89,9,556,38,53,45,29,1874,245,60,2
QAM64,62,16,343,44,48,28,25,397,1987,48,2
QPSK,114,17,901,50,61,47,20,63,39,1684,4
WBFM,6,1413,695,13,20,120,9,1,0,1,722
